date,steps,distance,runDistance,calories
2025-08-31,4647,3246,0,192
2025-09-01,6910,4486,0,1047
2025-09-02,4990,3424,24,812
2025-09-03,3117,2088,44,739
2025-09-04,5500,3580,347,1390
2025-09-05,1627,1037,251,239
2025-09-06,3021,1954,800,141
2025-09-07,3514,2302,628,383
2025-09-08,3340,2247,75,193
2025-09-09,5146,3262,26,1102
2025-09-10,4150,2809,98,757
2025-09-11,3931,2603,140,439
2025-09-12,2623,1677,25,132
2025-09-13,6409,4465,354,1472
2025-09-14,5808,3858,332,207
2025-09-15,5671,3977,566,1065
2025-09-16,4661,3260,871,717
2025-09-17,3637,2373,45,799
2025-09-18,6412,4116,168,1282
2025-09-19,5324,3718,83,1485
2025-09-20,4123,2611,0,949
2025-09-21,726,509,360,32
2025-09-22,4229,2949,288,873
2025-09-23,5109,3583,757,1140
2025-09-24,5349,3747,107,955
2025-09-25,6126,3958,1309,1112
2025-09-26,5886,4128,1045,1328
2025-09-27,10757,7544,260,1324
2025-09-28,1495,943,0,81
2025-09-29,5096,3574,76,1678
2025-09-30,4804,3048,5,1013
2025-10-01,4796,3049,116,1038
2025-10-02,4997,3229,1261,675
2025-10-03,5171,3626,142,1443
2025-10-04,4213,2954,1881,809
2025-10-05,455,287,229,29
2025-10-06,1662,1060,822,87
2025-10-07,3721,2360,32,750
2025-10-08,5008,3178,137,1091
2025-10-09,4647,3104,450,762
2025-10-10,4768,3035,371,1196
2025-10-11,5412,3443,4,1176
2025-10-12,3684,2345,1902,899
2025-10-13,661,416,69,49
2025-10-14,4756,3023,81,865
2025-10-15,4588,3034,728,694
2025-10-16,3095,1970,45,630
2025-10-17,3084,1962,87,448
2025-10-18,935,600,498,49
2025-10-19,0,0,0,0
2025-10-20,61,39,4,5
2025-10-21,4818,3083,2507,792
2025-10-22,3533,2478,99,854
2025-10-23,3210,2044,1659,614
2025-10-24,5564,3589,2085,898
2025-10-25,57,36,25,7
2025-10-26,900,568,478,57
2025-10-27,6239,4040,333,1147
2025-10-28,3808,2664,44,854
2025-10-29,4362,2776,2211,867
2025-10-30,1343,888,0,48
2025-10-31,656,414,339,35
2025-11-01,0,0,0,0
2025-11-02,0,0,0,0
2025-11-03,5477,3579,2880,813
2025-11-04,3265,2068,1667,512
2025-11-05,0,0,0,0
2025-11-06,0,0,0,0
2025-11-07,0,0,0,0
2025-11-08,7,4,0,1
2025-11-09,3686,2427,1978,180
2025-11-10,4596,3173,2511,462
2025-11-11,5534,3658,2916,776
2025-11-12,6321,4196,3403,464
2025-11-13,4447,2872,2282,388
2025-11-14,1751,1162,956,86
2025-11-15,4932,3159,2478,292
2025-11-16,5,3,0,1
2025-11-17,0,0,0,0
2025-11-18,0,0,0,0
2025-11-19,0,0,0,0
2025-11-20,2956,1920,1517,625
2025-11-21,278,175,112,16
2025-11-22,2352,1569,1219,279
2025-11-23,382,241,221,36
2025-11-24,3274,2091,1718,743
2025-11-25,2892,1827,1369,925
2025-11-26,5409,3450,2741,1361
2025-11-27,224,141,60,20
2025-11-28,3920,2604,2045,552
2025-11-29,11160,8020,6005,997
2025-11-30,324,205,153,26
2025-12-01,5106,3275,2569,878
2025-12-02,1495,1002,775,46
2025-12-03,1398,942,701,45
2025-12-04,3793,2480,24,151
2025-12-05,5753,3803,3125,882
2025-12-06,5000,3346,547,865
2025-12-07,1396,1083,811,56
2025-12-08,8220,5765,4237,974
2025-12-09,3353,2215,1778,455
2025-12-10,2039,1323,1057,86
2025-12-11,116,73,53,12
2025-12-12,6822,4798,784,699
2025-12-13,8585,5528,0,1461
2025-12-14,4261,2709,2187,880
2025-12-15,1879,1187,1029,119
2025-12-16,4899,3132,2488,960
2025-12-17,3950,2522,53,516
2025-12-18,696,497,7,35
2025-12-19,6644,4462,3534,738
2025-12-20,7041,4531,26,1099
2025-12-21,4023,2605,65,650
2025-12-22,3464,2227,1755,758
2025-12-23,538,339,54,32
2025-12-24,2537,1609,1324,286
2025-12-25,5710,4001,564,1441
2025-12-26,6424,4086,3236,1328
2025-12-27,295,186,166,20
2025-12-28,4754,3027,2355,1230
2025-12-29,1623,1056,4,221
2025-12-30,8140,5230,2049,1362
2025-12-31,699,506,371,29
2026-01-01,4562,3182,2274,478
2026-01-02,5007,3393,957,546
2026-01-03,8185,5233,4207,1798
2026-01-04,4838,3089,154,1091
2026-01-05,6815,4444,565,1067
2026-01-06,6335,4257,7,950
2026-01-07,4331,2736,2175,807
2026-01-08,2554,1630,235,563
2026-01-09,4578,2915,2358,694
2026-01-10,3676,2348,1906,633
2026-01-11,54,34,8,5
2026-01-12,3756,2402,0,515
2026-01-13,1213,768,22,67
2026-01-14,6928,4478,64,1345
2026-01-15,14143,10016,336,1119
2026-01-16,16044,11253,93,1932
2026-01-17,9087,6214,38,416
2026-01-18,5572,3842,2871,408
2026-01-19,4142,2696,248,728
2026-01-20,14462,10027,7407,1189
2026-01-21,536,336,104,50
2026-01-22,2473,1565,39,119
2026-01-23,3678,2348,1381,307
2026-01-24,6580,4321,3456,188
2026-01-25,9045,5918,4730,276
2026-01-26,3301,2081,1634,184
2026-01-27,7528,4902,3943,1080
2026-01-28,4243,2753,2225,594
2026-01-29,2099,1344,131,298
2026-01-30,8350,5579,4221,1210
2026-01-31,1171,850,284,37
