type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
223,2026-01-30 16:13:47+0000,3503,0.0,0.0,0.0,0.0,488.0
223,2026-01-30 10:26:43+0000,4689,0.0,0.0,0.0,0.0,651.0
223,2026-01-29 16:09:19+0000,1725,0.0,0.0,0.0,0.0,225.0
223,2026-01-28 15:27:28+0000,3643,0.0,0.0,0.0,0.0,480.0
223,2026-01-27 15:01:47+0000,6282,0.0,0.0,0.0,0.0,901.0
223,2026-01-23 10:14:37+0000,467,0.0,0.0,0.0,0.0,43.0
223,2026-01-23 09:27:48+0000,862,0.0,0.0,0.0,0.0,74.0
223,2026-01-20 11:11:49+0000,7948,0.0,0.0,0.0,0.0,1095.0
223,2026-01-19 16:28:20+0000,1991,0.0,0.0,0.0,0.0,232.0
223,2026-01-19 15:28:18+0000,2819,0.0,0.0,0.0,0.0,265.0
223,2026-01-19 14:51:11+0000,1114,0.0,0.0,0.0,0.0,138.0
223,2026-01-18 03:50:51+0000,279,0.0,0.0,0.0,0.0,23.0
223,2026-01-18 03:34:47+0000,181,0.0,0.0,0.0,0.0,8.0
223,2026-01-18 02:30:42+0000,2256,0.0,0.0,0.0,0.0,222.0
223,2026-01-18 02:13:25+0000,255,0.0,0.0,0.0,0.0,19.0
223,2026-01-17 11:44:40+0000,2873,0.0,0.0,0.0,0.0,297.0
223,2026-01-16 16:00:07+0000,6117,0.0,0.0,0.0,0.0,918.0
223,2026-01-16 11:15:27+0000,6975,0.0,0.0,0.0,0.0,953.0
223,2026-01-15 11:16:46+0000,7402,0.0,0.0,0.0,0.0,992.0
223,2026-01-14 19:35:01+0000,270,0.0,0.0,0.0,0.0,22.0
223,2026-01-14 16:35:22+0000,2466,0.0,0.0,0.0,0.0,315.0
223,2026-01-14 15:08:13+0000,4283,0.0,0.0,0.0,0.0,490.0
223,2026-01-14 10:34:23+0000,4777,0.0,0.0,0.0,0.0,422.0
223,2026-01-12 15:50:09+0000,3359,0.0,0.0,0.0,0.0,428.0
223,2026-01-12 15:34:05+0000,181,0.0,0.0,0.0,0.0,10.0
223,2026-01-10 04:17:11+0000,2824,0.0,0.0,0.0,0.0,294.0
223,2026-01-10 03:45:34+0000,1008,0.0,0.0,0.0,0.0,136.0
223,2026-01-10 03:05:22+0000,998,0.0,0.0,0.0,0.0,119.0
